algo_name,Pretty Name,task,metric,type,value
adaptive_sampling_eta_0.1,Adaptive Sampling,5,FID,erased,174.7579913
first_timestep,First Timestep,5,FID,erased,174.3449881
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,FID,erased,174.7209361
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,FID,erased,174.3748299
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,FID,erased,174.3673597
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,FID,erased,174.6238445
importance_sampling,Baseline (Importance Sampling),5,FID,erased,174.5637227
importance_sampling_large,Forget-then-Finteune (Large),5,FID,erased,176.4632864
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),5,FID,erased,177.7949955
importance_sampling_random_all,Forget-then-Finteune (Random),5,FID,erased,178.2614338
importance_sampling_similar_all,Forget-then-Finetune (Similar),5,FID,erased,178.0296912
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),5,FID,erased,178.3387747
last_timestep_sampling,Last Timestep,5,FID,erased,174.3510526
adaptive_sampling_eta_0.1,Adaptive Sampling,5,FID,others,174.7579913
first_timestep,First Timestep,5,FID,others,174.3449881
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,FID,others,174.7209361
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,FID,others,181.9741009
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,FID,others,174.3673597
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,FID,others,174.6238445
importance_sampling,Baseline (Importance Sampling),5,FID,others,174.5637227
importance_sampling_large,Forget-then-Finteune (Large),5,FID,others,176.4632864
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),5,FID,others,177.7949955
importance_sampling_random_all,Forget-then-Finteune (Random),5,FID,others,178.2614338
importance_sampling_similar_all,Forget-then-Finetune (Similar),5,FID,others,178.0296912
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),5,FID,others,178.3387747
last_timestep_sampling,Last Timestep,5,FID,others,174.3510526
adaptive_sampling_eta_0.1,Adaptive Sampling,10,FID,erased,175.2111831
first_timestep,First Timestep,10,FID,erased,173.2974031
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",10,FID,erased,173.5998161
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",10,FID,erased,173.5932486
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",10,FID,erased,173.6127341
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",10,FID,erased,173.6484587
importance_sampling,Baseline (Importance Sampling),10,FID,erased,173.6739281
importance_sampling_large,Forget-then-Finteune (Large),10,FID,erased,175.9935124
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,FID,erased,177.0869203
importance_sampling_large_checkpoint_100,,10,FID,erased,173.4778854
importance_sampling_large_checkpoint_1000,,10,FID,erased,175.9564125
importance_sampling_large_checkpoint_200,,10,FID,erased,175.8509226
importance_sampling_large_checkpoint_300,,10,FID,erased,174.1221606
importance_sampling_large_checkpoint_400,,10,FID,erased,176.1732649
importance_sampling_large_checkpoint_500,,10,FID,erased,175.8451292
importance_sampling_large_checkpoint_600,,10,FID,erased,175.0753981
importance_sampling_large_checkpoint_700,,10,FID,erased,176.0766541
importance_sampling_large_checkpoint_800,,10,FID,erased,176.1661058
importance_sampling_large_checkpoint_900,,10,FID,erased,176.1402059
importance_sampling_random_all,Forget-then-Finteune (Random),10,FID,erased,178.1326521
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,FID,erased,175.9185656
last_timestep_sampling,Last Timestep,10,FID,erased,173.4593515
adaptive_sampling_eta_0.1,Adaptive Sampling,10,FID,others,175.2111831
first_timestep,First Timestep,10,FID,others,173.2974031
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",10,FID,others,173.5998161
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",10,FID,others,173.5932486
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",10,FID,others,173.6127341
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",10,FID,others,173.6484587
importance_sampling,Baseline (Importance Sampling),10,FID,others,173.6739281
importance_sampling_large,Forget-then-Finteune (Large),10,FID,others,175.9935124
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,FID,others,177.0869203
importance_sampling_large_checkpoint_100,,10,FID,others,173.4778854
importance_sampling_large_checkpoint_1000,,10,FID,others,175.9564125
importance_sampling_large_checkpoint_200,,10,FID,others,175.8509226
importance_sampling_large_checkpoint_300,,10,FID,others,174.1221606
importance_sampling_large_checkpoint_400,,10,FID,others,176.1732649
importance_sampling_large_checkpoint_500,,10,FID,others,175.8451292
importance_sampling_large_checkpoint_600,,10,FID,others,175.0753981
importance_sampling_large_checkpoint_700,,10,FID,others,176.0766541
importance_sampling_large_checkpoint_800,,10,FID,others,176.1661058
importance_sampling_large_checkpoint_900,,10,FID,others,176.1402059
importance_sampling_random_all,Forget-then-Finteune (Random),10,FID,others,178.1326521
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,FID,others,175.9185656
last_timestep_sampling,Last Timestep,10,FID,others,173.4593515
adaptive_sampling_eta_0.1,Adaptive Sampling,1,GCD,erased,0.004115226337
first_timestep,First Timestep,1,GCD,erased,0
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,GCD,erased,0
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,GCD,erased,0
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,GCD,erased,0
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,GCD,erased,0
importance_sampling,Baseline (Importance Sampling),1,GCD,erased,0
importance_sampling_large,Forget-then-Finteune (Large),1,GCD,erased,0.06147540984
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,GCD,erased,0.06072874494
importance_sampling_random_all,Forget-then-Finteune (Random),1,GCD,erased,0.02880658436
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,GCD,erased,0.02868852459
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,GCD,erased,0.02469135802
last_timestep_sampling,Last Timestep,1,GCD,erased,0
adaptive_sampling_eta_0.1,Adaptive Sampling,1,GCD,others,0.9342532468
first_timestep,First Timestep,1,GCD,others,0.9318458418
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,GCD,others,0.9297319253
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,GCD,others,0.9278195489
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,GCD,others,0.9337667615
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,GCD,others,0.9330628803
importance_sampling,Baseline (Importance Sampling),1,GCD,others,0.9322515213
importance_sampling_large,Forget-then-Finteune (Large),1,GCD,others,0.9386909693
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,GCD,others,0.9306889353
importance_sampling_random_all,Forget-then-Finteune (Random),1,GCD,others,0.9358024691
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,GCD,others,0.9359967387
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,GCD,others,0.9131503482
last_timestep_sampling,Last Timestep,1,GCD,others,0.9386926512
adaptive_sampling_eta_0.1,Adaptive Sampling,5,GCD,erased,0.004048582996
first_timestep,First Timestep,5,GCD,erased,0
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,GCD,erased,0.004048582996
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,GCD,erased,0
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,GCD,erased,0.004048582996
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,GCD,erased,0
importance_sampling,Baseline (Importance Sampling),5,GCD,erased,0
importance_sampling_large,Forget-then-Finteune (Large),5,GCD,erased,0.1129032258
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),5,GCD,erased,0.1290322581
importance_sampling_random_all,Forget-then-Finteune (Random),5,GCD,erased,0.06477732794
importance_sampling_similar_all,Forget-then-Finetune (Similar),5,GCD,erased,0.09638554217
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),5,GCD,erased,0.08467741935
last_timestep_sampling,Last Timestep,5,GCD,erased,0
adaptive_sampling_eta_0.1,Adaptive Sampling,5,GCD,others,0.9339010543
first_timestep,First Timestep,5,GCD,others,0.938940558
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,GCD,others,0.9334685598
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,GCD,others,0.9341238472
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,GCD,others,0.9343598055
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,GCD,others,0.9343331982
importance_sampling,Baseline (Importance Sampling),5,GCD,others,0.9347914135
importance_sampling_large,Forget-then-Finteune (Large),5,GCD,others,0.9369556201
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),5,GCD,others,0.9313482217
importance_sampling_random_all,Forget-then-Finteune (Random),5,GCD,others,0.9300699301
importance_sampling_similar_all,Forget-then-Finetune (Similar),5,GCD,others,0.9336609337
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),5,GCD,others,0.9359868691
last_timestep_sampling,Last Timestep,5,GCD,others,0.9347385488
adaptive_sampling_eta_0.1,Adaptive Sampling,10,GCD,erased,0.008032128514
first_timestep,First Timestep,10,GCD,erased,0.01204819277
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",10,GCD,erased,0.008032128514
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",10,GCD,erased,0.008032128514
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",10,GCD,erased,0.008
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",10,GCD,erased,0.008032128514
